idt,market,maturity_target,mu,sd,skew,kurt,p10,p50,p90,lg_change_decr,prDec,lg_change_incr,prInc,Avg,Open,High,Low,Close
2011-06-15,sp6m,6.0,-0.007380476,0.144042893,-1.057628558,1.782048052,-0.197158456,0.016777111,0.147369625,-20.0,0.097927166,20.0,0.031776782,1242.3200073242188,-0.04303322899392287,0.0031165929392254323,-0.05110951262797626,-0.006198994332967345
2011-06-30,sp6m,6.0,-0.004427464,0.132331266,-1.219666046,2.264764893,-0.178437466,0.020706369,0.133216643,-20.0,0.084381647,20.0,0.016635589,1282.0680053710937,-0.04476920580954184,-0.018201406192365394,-0.04902269639790358,-0.020633304333670673
2011-07-15,sp6m,6.0,-0.002701843,0.140163809,-1.174522096,2.224243908,-0.185301768,0.022181162,0.14518789,-20.0,0.089314003,20.0,0.027582978,1313.6733534071182,-0.019890497591814556,0.013081323875181768,-0.019890497591814556,-0.0023810024779559085
2011-07-29,sp6m,6.0,-0.001158442,0.148713235,-1.189619767,2.225336643,-0.195686363,0.025779577,0.15460809,-20.0,0.096937802,20.0,0.037251359,1338.1791687011719,0.018310309211832097,0.046891320870546295,0.006332986200228001,0.03866902389697737
2011-08-15,sp6m,6.0,-0.011874051,0.189755448,-1.349187173,2.552372468,-0.264076094,0.030022788,0.17858217,-20.0,0.14031831,20.0,0.067770808,1361.2599962022568,0.11443348520221808,0.13100741690519327,0.10721025443228066,0.12559627968888126
2011-08-31,sp6m,6.0,-0.009020677,0.194697842,-1.337748724,2.663848425,-0.26318428,0.03031659,0.189474564,-20.0,0.140192629,20.0,0.083414578,1369.8018132990057,0.118474635145445,0.13811727592402728,0.09475140308938008,0.14038701916900034
2011-09-15,sp6m,6.0,-0.011714492,0.213526592,-1.3112168,2.444182505,-0.296334004,0.033263793,0.204037391,-20.0,0.156220435,20.0,0.106199919,1404.7881969105113,0.1424147479798574,0.16017357837641383,0.13716486628658822,0.15261944838912384
2011-09-30,sp6m,6.0,-0.009980897,0.242728446,-1.186739912,2.045177257,-0.33021256,0.034725557,0.244305662,-20.0,0.175564832,20.0,0.168764069,1390.5259765625,0.2153602537379269,0.22885800854349267,0.18208285490021994,0.19102326291686209
2011-10-14,sp6m,6.0,-0.002605184,0.192509304,-1.409876406,2.939552859,-0.254189205,0.03815509,0.189631441,-20.0,0.132461555,20.0,0.083544118,1383.38798828125,0.11240992278895634,0.13860600008906884,0.10399673441156283,0.13238039632859033
2011-10-31,sp6m,6.0,0.000237035,0.178267848,-1.235993662,2.472357819,-0.229746904,0.032372767,0.186973598,-20.0,0.120397214,20.0,0.079105884,1373.1199840198863,0.1130179964929498,0.12157550439273447,0.06435643518237315,0.05989497383979854
2011-11-15,sp6m,6.0,-0.012240994,0.209690306,-1.395065784,2.695280132,-0.29037071,0.034881036,0.196204766,-20.0,0.154793426,20.0,0.09407999,1317.7940063476562,0.06207281279807029,0.06697719875809012,0.026803750177960557,0.043186081339691804
